AP001;T001 ;TP067299  ;Alarm clock                   ;08/03/2024     ;0900      ;1000      ;80.00     ;Paid
AP002;T003 ;TP068495  ;Kettle                        ;08/03/2024     ;1300      ;1500      ;80.00     ;Paid
AP003;T001 ;TP067299  ;Iron / steamer                ;09/03/2024     ;0900      ;1100      ;100.00    ;Paid
AP004;T002 ;TP068495  ;Hair dryer                    ;09/03/2024     ;1400      ;1600      ;70.00     ;Paid
AP005;T001 ;TP067299  ;Electronic shaver             ;09/03/2024     ;1600      ;1700      ;150.00    ;Unpaid
AP006;T001 ;TP067299  ;Bedside lamp                  ;11/03/2024     ;1000      ;1200      ;90.00     ;Unpaid
AP007;T001 ;TP067299  ;Alarm clock                   ;12/03/2024     ;0900      ;1100      ;80.00     ;Unpaid
AP008;T003 ;TP067299  ;Kettle                        ;22/03/2024     ;1500      ;1700      ;80.00     ;Unpaid
AP009;T001 ;TP067299  ;Iron / steamer                ;22/03/2024     ;1300      ;1400      ;100.00    ;Unpaid
AP010;T002 ;TP067299  ;Hair dryer                    ;24/03/2024     ;1000      ;1200      ;70.00     ;Unpaid
AP011;T001 ;TP068495  ;Kettle                        ;22/03/2024     ;1400      ;1600      ;80.00     ;Unpaid
